W(m),S(m),B(m),E(GPa),f'c(MPa),a0(m),ac(m),?c,?,F(?c),V(?c),"N(?c, ?)",Pmax (N)Avg,KsIC (MPa),CTODC(mm)
0.16,0.4,0.05,35.5,67.5,0.0041,0.0366,0.2286,0.1124,0.9969,1.5259,0.9325,7350.0000,1.1643,0.0202
0.16,0.4,0.05,35.5,67.5,0.0041,0.0371,0.2318,0.1109,0.9982,1.5325,0.9332,7350.0000,1.1740,0.0206
0.16,0.4,0.05,35.5,67.5,0.0041,0.0376,0.2350,0.1094,0.9996,1.5393,0.9339,7350.0000,1.1838,0.0210
0.16,0.4,0.05,35.5,67.5,0.0041,0.0381,0.2382,0.1079,1.0011,1.5462,0.9346,7350.0000,1.1936,0.0214
0.16,0.4,0.05,35.5,67.5,0.0041,0.0386,0.2414,0.1065,1.0027,1.5533,0.9353,7350.0000,1.2034,0.0218
0.16,0.4,0.05,35.5,67.5,0.0041,0.0391,0.2446,0.1051,1.0043,1.5606,0.9360,7350.0000,1.2133,0.0222
0.16,0.4,0.05,35.5,67.5,0.0041,0.0396,0.2478,0.1037,1.0061,1.5681,0.9367,7350.0000,1.2233,0.0226
0.16,0.4,0.05,35.5,67.5,0.0041,0.0402,0.2510,0.1024,1.0079,1.5757,0.9373,7350.0000,1.2334,0.0230
0.16,0.4,0.05,35.5,67.5,0.0041,0.0407,0.2542,0.1011,1.0097,1.5835,0.9379,7350.0000,1.2435,0.0234
0.16,0.4,0.05,35.5,67.5,0.0041,0.0412,0.2574,0.0999,1.0117,1.5915,0.9385,7350.0000,1.2537,0.0239
0.16,0.4,0.05,35.5,67.5,0.0041,0.0417,0.2606,0.0986,1.0137,1.5997,0.9391,7350.0000,1.2639,0.0243
0.16,0.4,0.05,35.5,67.5,0.0041,0.0422,0.2638,0.0974,1.0158,1.6081,0.9397,7350.0000,1.2743,0.0248
0.16,0.4,0.05,35.5,67.5,0.0041,0.0427,0.2670,0.0963,1.0179,1.6166,0.9403,7350.0000,1.2847,0.0252
0.16,0.4,0.05,35.5,67.5,0.0041,0.0432,0.2702,0.0951,1.0201,1.6253,0.9408,7350.0000,1.2952,0.0257
0.16,0.4,0.05,35.5,67.5,0.0041,0.0437,0.2734,0.0940,1.0225,1.6342,0.9413,7350.0000,1.3058,0.0261
0.16,0.4,0.05,35.5,67.5,0.0041,0.0442,0.2765,0.0929,1.0248,1.6433,0.9419,7350.0000,1.3164,0.0266
0.16,0.4,0.05,35.5,67.5,0.0041,0.0448,0.2797,0.0919,1.0273,1.6526,0.9424,7350.0000,1.3272,0.0271
0.16,0.4,0.05,35.5,67.5,0.0041,0.0453,0.2829,0.0908,1.0298,1.6621,0.9429,7350.0000,1.3380,0.0275
0.16,0.4,0.05,35.5,67.5,0.0041,0.0458,0.2861,0.0898,1.0324,1.6718,0.9434,7350.0000,1.3490,0.0280
0.16,0.4,0.05,35.5,67.5,0.0041,0.0463,0.2893,0.0888,1.0351,1.6816,0.9438,7350.0000,1.3600,0.0285
0.16,0.4,0.05,35.5,67.5,0.0041,0.0468,0.2925,0.0879,1.0379,1.6917,0.9443,7350.0000,1.3711,0.0290
0.16,0.4,0.05,35.5,67.5,0.0041,0.0473,0.2957,0.0869,1.0407,1.7020,0.9448,7350.0000,1.3824,0.0295
0.16,0.4,0.05,35.5,67.5,0.0041,0.0478,0.2989,0.0860,1.0436,1.7125,0.9452,7350.0000,1.3937,0.0301
0.16,0.4,0.05,35.5,67.5,0.0041,0.0483,0.3021,0.0851,1.0466,1.7232,0.9456,7350.0000,1.4052,0.0306
0.16,0.4,0.05,35.5,67.5,0.0041,0.0488,0.3053,0.0842,1.0497,1.7341,0.9461,7350.0000,1.4167,0.0311
0.16,0.4,0.05,35.5,67.5,0.0041,0.0494,0.3085,0.0833,1.0528,1.7452,0.9465,7350.0000,1.4284,0.0316
0.16,0.4,0.05,35.5,67.5,0.0041,0.0499,0.3117,0.0825,1.0561,1.7566,0.9469,7350.0000,1.4401,0.0322
0.16,0.4,0.05,35.5,67.5,0.0041,0.0504,0.3149,0.0816,1.0594,1.7681,0.9473,7350.0000,1.4520,0.0328
0.16,0.4,0.05,35.5,67.5,0.0041,0.0509,0.3181,0.0808,1.0627,1.7799,0.9477,7350.0000,1.4640,0.0333
0.16,0.4,0.05,35.5,67.5,0.0041,0.0514,0.3213,0.0800,1.0662,1.7919,0.9480,7350.0000,1.4761,0.0339
0.16,0.4,0.05,35.5,67.5,0.0041,0.0519,0.3245,0.0792,1.0697,1.8042,0.9484,7350.0000,1.4884,0.0345
0.16,0.4,0.05,35.5,67.5,0.0041,0.0524,0.3276,0.0784,1.0734,1.8166,0.9488,7350.0000,1.5008,0.0351
0.16,0.4,0.05,35.5,67.5,0.0041,0.0529,0.3308,0.0777,1.0771,1.8293,0.9492,7350.0000,1.5133,0.0357
0.16,0.4,0.05,35.5,67.5,0.0041,0.0534,0.3340,0.0769,1.0808,1.8423,0.9495,7350.0000,1.5259,0.0363
0.16,0.4,0.05,35.5,67.5,0.0041,0.0540,0.3372,0.0762,1.0847,1.8555,0.9498,7350.0000,1.5386,0.0369
0.16,0.4,0.05,35.5,67.5,0.0041,0.0545,0.3404,0.0755,1.0887,1.8689,0.9502,7350.0000,1.5515,0.0375
0.16,0.4,0.05,35.5,67.5,0.0041,0.0550,0.3436,0.0748,1.0927,1.8826,0.9505,7350.0000,1.5646,0.0382
0.16,0.4,0.05,35.5,67.5,0.0041,0.0555,0.3468,0.0741,1.0968,1.8965,0.9508,7350.0000,1.5778,0.0388
0.16,0.4,0.05,35.5,67.5,0.0041,0.0560,0.3500,0.0734,1.1010,1.9107,0.9512,7350.0000,1.5911,0.0395
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0326,0.1019,0.2522,1.0062,1.3840,0.8608,12516.6667,0.9448,0.0128
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0329,0.1029,0.2497,1.0056,1.3842,0.8622,12516.6667,0.9489,0.0130
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0333,0.1040,0.2472,1.0050,1.3845,0.8635,12516.6667,0.9531,0.0131
0.32,0.8, 0.05 , 35.50 , 67.50 ,0.0082,0.0336,0.1050,0.2448,1.0044,1.3848,0.8648,12516.6667,0.9572,0.0133
